               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.069751,           0.0092916,            0.025956,             0.81843,              0.2767,             0.29512,             0.16699,            0.061726,           0.0075248,            0.024328,           0.0093268,           0.0093268,           0.0093268
                  36,            0.071944,           0.0094083,             0.02601,             0.80264,             0.28006,             0.29676,             0.17104,            0.061475,           0.0075553,            0.024138,            0.009307,            0.009307,            0.009307
                  37,            0.070416,           0.0092395,            0.025725,             0.77152,             0.28502,              0.2949,             0.17066,            0.061749,           0.0075643,            0.023955,           0.0092872,           0.0092872,           0.0092872
                  38,            0.069814,           0.0094057,            0.025488,             0.80006,             0.28662,             0.29906,             0.17231,            0.061651,           0.0075252,            0.023558,           0.0092674,           0.0092674,           0.0092674
                  39,            0.070997,           0.0093472,             0.02551,             0.81282,              0.2888,             0.30325,             0.17576,            0.061242,           0.0075262,            0.023461,           0.0092476,           0.0092476,           0.0092476
                  40,            0.069972,           0.0093145,            0.025689,             0.80235,             0.29006,             0.30984,             0.18094,            0.060939,            0.007487,            0.023648,           0.0092278,           0.0092278,           0.0092278
                  41,            0.070459,           0.0094044,            0.025144,             0.79128,             0.30932,             0.32685,             0.18845,            0.060944,           0.0073534,            0.022568,            0.009208,            0.009208,            0.009208
                  42,            0.070128,           0.0094718,            0.024492,             0.77322,             0.31111,             0.31645,             0.18303,            0.060611,           0.0073759,            0.022695,           0.0091882,           0.0091882,           0.0091882
                  43,            0.070626,           0.0090562,            0.023929,             0.80546,             0.30628,             0.32413,             0.19144,            0.060705,           0.0073823,            0.022583,           0.0091684,           0.0091684,           0.0091684
                  44,            0.070403,            0.009114,            0.023826,             0.80447,             0.31096,             0.33331,             0.19578,            0.060394,           0.0073706,             0.02262,           0.0091486,           0.0091486,           0.0091486
                  45,            0.068601,           0.0094104,            0.023545,             0.79608,              0.3152,             0.33714,             0.19734,            0.059724,           0.0073491,            0.022314,           0.0091288,           0.0091288,           0.0091288
                  46,             0.06934,           0.0096309,            0.023426,             0.79313,             0.31867,             0.33671,             0.19679,            0.060263,           0.0073143,            0.022126,            0.009109,            0.009109,            0.009109
                  47,            0.069624,           0.0091228,            0.023959,             0.80609,             0.30867,             0.33768,             0.20064,            0.059955,           0.0073862,            0.022086,           0.0090892,           0.0090892,           0.0090892
                  48,            0.068319,           0.0090704,            0.023304,              0.8056,             0.32229,              0.3482,             0.20814,            0.059771,           0.0073308,            0.021762,           0.0090694,           0.0090694,           0.0090694
                  49,            0.068058,           0.0089495,            0.023492,              0.8155,             0.31854,             0.34808,             0.20454,            0.059507,           0.0073886,            0.021624,           0.0090496,           0.0090496,           0.0090496
                  50,            0.070373,           0.0089202,            0.024132,             0.79358,             0.32397,             0.35283,             0.20778,            0.059764,           0.0073284,            0.021484,           0.0090298,           0.0090298,           0.0090298
                  51,            0.068373,           0.0092745,            0.022538,             0.84654,             0.31046,             0.36306,             0.21567,            0.059467,           0.0073158,            0.021506,             0.00901,             0.00901,             0.00901
                  52,            0.067341,           0.0091083,            0.022317,             0.80784,             0.33066,             0.36147,             0.21473,            0.059566,           0.0072634,            0.021001,           0.0089902,           0.0089902,           0.0089902
                  53,            0.067622,           0.0092197,            0.023029,             0.82312,             0.31455,             0.35669,             0.21481,            0.059619,           0.0073476,            0.021128,           0.0089704,           0.0089704,           0.0089704
                  54,            0.069404,           0.0093129,             0.02354,             0.84685,             0.33224,             0.37007,             0.22162,            0.059085,           0.0072293,            0.020736,           0.0089506,           0.0089506,           0.0089506
                  55,            0.068813,           0.0090792,            0.022654,             0.81689,             0.32859,             0.36076,             0.21867,            0.059059,           0.0072396,            0.021126,           0.0089308,           0.0089308,           0.0089308
                  56,            0.069395,           0.0087155,            0.022622,             0.79772,             0.33855,             0.37775,             0.22973,            0.058866,           0.0072025,            0.020329,            0.008911,            0.008911,            0.008911
                  57,            0.069701,           0.0088428,            0.022073,             0.83793,             0.32448,             0.36977,             0.22591,            0.058598,           0.0072084,            0.020847,           0.0088912,           0.0088912,           0.0088912
                  58,            0.068633,           0.0090087,            0.021243,             0.84217,             0.33343,             0.39094,             0.23316,            0.058952,           0.0072127,            0.020617,           0.0088714,           0.0088714,           0.0088714
                  59,            0.068097,            0.009098,            0.021222,             0.84181,             0.33529,             0.37949,             0.22976,            0.058894,           0.0072045,            0.020356,           0.0088516,           0.0088516,           0.0088516
                  60,            0.067898,           0.0093708,            0.021406,             0.87528,              0.3342,             0.39266,             0.23636,            0.058672,           0.0071808,            0.019919,           0.0088318,           0.0088318,           0.0088318
                  61,            0.066991,           0.0086122,            0.020375,             0.82476,             0.34749,             0.38938,             0.23533,            0.058283,           0.0071438,            0.020121,            0.008812,            0.008812,            0.008812
